age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,end,sex,age_cat,race,c_charge_degree,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,label
35.0,0.0,0.0,0.0,7.0,-1.0,1.0,214.0,0,0,0,3,1,1,0,0,1,1
20.0,0.0,0.0,0.0,0.0,-1.0,2.0,827.0,1,2,2,3,6,2,0,5,2,1
27.0,0.0,0.0,0.0,6.0,0.0,0.0,337.0,1,0,0,3,6,2,0,5,2,1
25.0,0.0,0.0,0.0,2.0,-25.0,25.0,759.0,1,0,2,3,4,2,0,4,2,1
26.0,0.0,0.0,0.0,1.0,-1.0,1.0,540.0,1,0,3,7,1,1,0,2,1,1
32.0,0.0,0.0,0.0,5.0,-1.0,1.0,248.0,1,0,0,3,3,1,0,1,1,1
47.0,0.0,0.0,0.0,21.0,-124.0,124.0,217.0,1,1,0,3,8,0,0,3,1,1
42.0,0.0,0.0,0.0,17.0,-1.0,0.0,732.0,1,0,0,7,6,2,0,3,1,1
24.0,0.0,0.0,0.0,0.0,-1.0,1.0,170.0,1,2,0,7,4,2,0,4,2,1
19.0,0.0,0.0,3.0,0.0,0.0,0.0,496.0,1,2,2,3,3,1,0,5,2,0
48.0,0.0,0.0,0.0,0.0,-1.0,1.0,1110.0,1,1,1,3,1,1,0,0,1,0
25.0,0.0,0.0,0.0,1.0,-80.0,81.0,361.0,1,0,0,2,3,1,0,3,1,0
28.0,0.0,0.0,0.0,3.0,-1.0,1.0,623.0,1,0,3,8,4,2,0,4,2,0
49.0,0.0,0.0,0.0,1.0,33.0,35.0,33.0,0,1,3,3,0,1,0,0,1,0
46.0,0.0,0.0,0.0,8.0,400.0,353.0,400.0,1,1,0,3,2,1,0,2,1,1
45.0,0.0,0.0,0.0,1.0,0.0,1.0,1117.0,1,1,2,3,1,1,0,0,1,0
32.0,0.0,0.0,1.0,8.0,-1.0,1.0,309.0,1,0,0,2,3,1,0,1,1,0
29.0,0.0,0.0,0.0,7.0,-1.0,1.0,1072.0,1,0,0,3,8,0,0,5,2,0
39.0,0.0,0.0,0.0,0.0,-1.0,1.0,586.0,1,0,2,7,1,1,0,1,1,0
22.0,0.0,0.0,0.0,0.0,-1.0,1.0,363.0,1,2,3,3,3,1,0,4,2,1
30.0,0.0,0.0,1.0,2.0,-1.0,0.0,474.0,1,0,2,7,1,1,0,3,1,0
34.0,0.0,0.0,0.0,8.0,-1.0,1.0,690.0,1,0,0,7,6,2,0,2,1,1
36.0,0.0,0.0,0.0,9.0,-1.0,1.0,49.0,1,0,0,3,6,2,0,6,2,1
29.0,0.0,0.0,0.0,1.0,-1.0,1.0,845.0,1,0,2,7,2,1,0,1,1,0
28.0,0.0,0.0,0.0,9.0,-1.0,1.0,832.0,1,0,0,3,7,0,0,3,1,1
32.0,0.0,0.0,0.0,0.0,500.0,1.0,630.0,1,0,2,3,2,1,0,1,1,1
29.0,0.0,0.0,0.0,8.0,0.0,1.0,1005.0,1,0,0,7,8,0,0,5,2,1
21.0,0.0,0.0,0.0,0.0,0.0,1.0,1090.0,1,2,0,3,3,1,0,6,2,0
27.0,0.0,0.0,1.0,2.0,-1.0,1.0,108.0,1,0,0,2,8,0,0,7,0,1
34.0,0.0,0.0,0.0,14.0,-11.0,11.0,630.0,1,0,0,2,6,2,0,3,1,0
25.0,4.0,0.0,1.0,13.0,-1.0,0.0,795.0,1,0,2,3,3,1,0,2,1,1
22.0,0.0,0.0,0.0,1.0,-1.0,1.0,781.0,1,2,2,2,2,1,0,4,2,1
26.0,0.0,0.0,0.0,5.0,-1.0,1.0,173.0,1,0,0,2,6,2,0,5,2,1
52.0,0.0,0.0,0.0,2.0,-44.0,45.0,954.0,1,1,2,8,0,1,0,0,1,0
50.0,1.0,0.0,0.0,13.0,160.0,356.0,328.0,1,1,0,7,9,0,0,4,2,1
31.0,0.0,0.0,0.0,13.0,-1.0,0.0,615.0,1,0,2,3,9,0,0,6,2,1
35.0,0.0,0.0,1.0,8.0,-1.0,1.0,534.0,1,0,0,3,6,2,0,3,1,1
54.0,0.0,0.0,0.0,0.0,-1.0,1.0,806.0,0,1,2,7,0,1,0,0,1,0
31.0,0.0,0.0,3.0,9.0,-1.0,1.0,882.0,1,0,2,2,5,2,0,3,1,1
61.0,0.0,0.0,0.0,3.0,-1.0,1.0,562.0,1,1,0,3,0,1,0,0,1,0
44.0,1.0,0.0,0.0,7.0,-1.0,1.0,1048.0,1,0,0,1,5,2,0,3,1,1
30.0,0.0,0.0,0.0,0.0,-1.0,2.0,649.0,1,0,2,7,0,1,0,1,1,0
31.0,0.0,0.0,0.0,9.0,-1.0,1.0,192.0,0,0,2,3,6,2,0,4,2,1
25.0,0.0,0.0,0.0,5.0,-1.0,1.0,505.0,1,0,0,3,8,0,0,6,2,1
52.0,0.0,0.0,0.0,0.0,-1.0,1.0,971.0,1,1,2,7,0,1,0,0,1,0
46.0,0.0,0.0,0.0,5.0,0.0,0.0,38.0,1,1,2,3,7,0,0,2,1,1
35.0,0.0,0.0,0.0,3.0,-1.0,1.0,935.0,1,0,2,7,2,1,0,1,1,1
60.0,0.0,0.0,0.0,43.0,160.0,99.0,160.0,1,1,0,3,7,0,0,4,2,0
19.0,1.0,0.0,1.0,1.0,-1.0,1.0,129.0,1,2,0,3,6,2,0,8,0,1
41.0,0.0,0.0,0.0,2.0,46.0,57.0,61.0,1,0,0,7,5,2,0,4,2,1
26.0,0.0,0.0,0.0,0.0,-1.0,1.0,398.0,1,0,0,7,2,1,0,3,1,1
31.0,0.0,0.0,0.0,0.0,-1.0,1.0,775.0,0,0,0,7,5,2,0,4,2,0
46.0,0.0,0.0,0.0,1.0,-72.0,72.0,674.0,1,1,2,1,0,1,0,0,1,0
24.0,0.0,0.0,0.0,1.0,-1.0,1.0,309.0,0,2,0,2,8,0,0,4,2,0
22.0,0.0,0.0,0.0,0.0,-1.0,1.0,467.0,0,2,0,3,2,1,0,3,1,0
21.0,0.0,2.0,1.0,3.0,-1.0,1.0,869.0,1,2,2,3,9,0,0,5,2,1
40.0,0.0,0.0,0.0,4.0,442.0,1297.0,1151.0,1,0,0,3,7,0,0,5,2,0
33.0,0.0,0.0,0.0,0.0,-1.0,1.0,697.0,1,0,2,7,8,0,0,0,1,0
27.0,1.0,0.0,0.0,1.0,0.0,1.0,502.0,1,0,0,3,4,2,0,3,1,1
35.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,1,0,3,7,0,1,0,0,1,0
56.0,0.0,0.0,0.0,8.0,67.0,79.0,847.0,1,1,0,3,8,0,0,2,1,0
57.0,0.0,0.0,0.0,19.0,-1.0,1.0,892.0,1,1,0,3,6,2,0,3,1,0
28.0,0.0,0.0,0.0,5.0,-1.0,1.0,146.0,1,0,2,7,6,2,0,4,2,1
24.0,0.0,0.0,2.0,0.0,-1.0,1.0,842.0,1,2,0,2,8,0,0,8,0,1
20.0,0.0,0.0,0.0,1.0,0.0,0.0,686.0,1,2,0,3,9,0,0,9,0,1
36.0,0.0,0.0,0.0,16.0,0.0,0.0,629.0,1,0,0,3,4,2,0,2,1,1
41.0,0.0,0.0,0.0,11.0,-1.0,1.0,19.0,1,0,2,3,8,0,0,5,2,0
58.0,0.0,0.0,0.0,0.0,-1.0,1.0,515.0,1,1,2,3,0,1,0,0,1,0
23.0,1.0,0.0,0.0,2.0,0.0,0.0,972.0,1,2,0,3,8,0,0,9,0,1
31.0,0.0,0.0,0.0,0.0,-1.0,1.0,485.0,0,0,3,7,0,1,0,0,1,0
43.0,0.0,0.0,0.0,1.0,-27.0,27.0,610.0,0,0,2,8,0,1,0,0,1,0
25.0,0.0,0.0,0.0,0.0,-1.0,1.0,1179.0,1,0,0,3,7,0,0,4,2,0
35.0,0.0,0.0,0.0,5.0,-1.0,1.0,1134.0,1,0,0,3,7,0,0,4,2,0
32.0,0.0,0.0,0.0,3.0,-1.0,1.0,1129.0,0,0,0,2,1,1,0,1,1,0
31.0,0.0,0.0,0.0,0.0,0.0,1.0,1060.0,0,0,0,3,4,2,0,1,1,1
38.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.0,0,0,3,3,0,1,0,0,1,0
22.0,0.0,0.0,0.0,0.0,0.0,1.0,650.0,1,2,2,3,3,1,0,5,2,1
32.0,2.0,1.0,0.0,9.0,-1.0,1.0,1134.0,1,0,0,3,9,0,0,5,2,0
40.0,0.0,0.0,0.0,7.0,-33.0,33.0,905.0,0,0,0,8,3,1,0,0,1,0
34.0,0.0,0.0,0.0,5.0,-1.0,1.0,256.0,0,0,0,1,2,1,0,2,1,1
29.0,0.0,0.0,0.0,12.0,-1.0,1.0,61.0,1,0,0,2,7,0,0,3,1,0
26.0,0.0,0.0,0.0,0.0,-1.0,1.0,1122.0,1,0,2,7,1,1,0,2,1,0
34.0,0.0,0.0,0.0,0.0,-1.0,1.0,1084.0,1,0,2,7,0,1,0,0,1,0
36.0,0.0,0.0,0.0,0.0,-1.0,1.0,891.0,1,0,0,3,5,2,0,0,1,0
35.0,0.0,0.0,0.0,0.0,-1.0,1.0,703.0,1,0,2,3,0,1,0,0,1,0
39.0,0.0,0.0,0.0,1.0,-99.0,99.0,849.0,1,0,2,3,0,1,0,1,1,0
25.0,0.0,0.0,0.0,4.0,-107.0,107.0,213.0,0,0,3,3,5,2,0,4,2,1
29.0,0.0,0.0,0.0,20.0,11.0,46.0,11.0,0,0,2,3,9,0,0,2,1,1
22.0,0.0,0.0,0.0,1.0,0.0,1.0,75.0,1,2,0,3,8,0,0,6,2,1
42.0,0.0,0.0,0.0,2.0,1.0,68.0,240.0,1,0,2,3,4,2,0,2,1,0
51.0,0.0,0.0,0.0,3.0,-1.0,1.0,1140.0,1,1,2,3,3,1,0,2,1,0
28.0,0.0,0.0,0.0,0.0,-1.0,1.0,538.0,1,0,3,3,0,1,0,1,1,0
